x1	y1	z1
PTA	Cdv3	1.4
PTA	Celf2	14.9
PTA	Cend1	0.1
PTA	Cetn3	0.1
PTA	Cfdp1	7.2
PTA	Cfl1	6.9
PTA	Cfl2	9.3
PTA	Cggbp1	2.0
PTA	Cgrrf1	0.4
PTA	Chchd1	2.2
PTA	Chchd10	8.4
PTA	Chchd2	161.9
PTA	Chchd3	3.8
PTA	Chchd7	0.7
PTA	Chd4	3.7
PTA	Chd9	12.2
PTA	Chi3l1	40.9
PTA	Chic2	0.1
PTA	Chka	5.0
PTA	Chmp2a	16.3
PTA	Chmp4b	22.0
PTA	Chmp5	21.0
PTA	Chn1	28.2
PTA	Chordc1	4.4
PTA	Chpt1	8.1
PTA	Chrdl1	12.2
PTA	Chst1	0.5
PTA	Chst10	2.8
PTA	Chst2	0.1
PTA	Chsy1	2.6
PTA	Chuk	0.3
PTA	Churc1	3.9
PTA	Cib1	1.4
PTA	Cideb	0.1
PTA	Cisd1	1.7
PTA	Cisd2	0.1
PTA	Ckap5	11.8
PTA	Ckb	96.4
PTA	Clasp1	6.7
PTA	Clasp2	2.9
PTA	Clcc1	2.5
PTA	Clcn3	5.9
PTA	Cldn10	21.7
PTA	Clint1	5.5
PTA	Clip3	42.2
PTA	Clk1	2.6
PTA	Clk3	0.7
PTA	Clk4	0.1
PTA	Clmn	0.4
PTA	Cln5	3.3
PTA	Clns1a	0.5
PTA	Clpp	0.1
PTA	Clptm1	7.1
PTA	Clpx	1.8
PTA	Clstn1	9.2
PTA	Clta	5.4
PTA	Cltb	0.5
PTA	Cltc	13.2
PTA	Clu	345.2
PTA	Cluap1	2.7
PTA	Cmbl	0.8
PTA	Cmpk1	0.6
PTA	Cmtm3	0.1
PTA	Cmtm5	0.1
PTA	Cnbp	11.3
PTA	Cnih	4.4
PTA	Cnn3	86.8
PTA	Cnot1	12.8
PTA	Cnot2	0.8
PTA	Cnot4	10.1
PTA	Cnot7	0.1
PTA	Cnp	10.3
PTA	Cnpy2	1.9
PTA	Cnrip1	7.0
PTA	Cntfr	7.4
PTA	Cntn1	28.1
PTA	Cog6	4.6
PTA	Col4a3bp	0.9
PTA	Commd3	0.1
PTA	Commd4	0.9
PTA	Commd6	1.6
PTA	Comt	8.0
PTA	Copa	1.6
PTA	Copb1	14.4
PTA	Copb2	6.0
PTA	Cope	0.4
PTA	Cops2	1.7
PTA	Cops3	22.1
PTA	Cops4	13.1
PTA	Cops5	7.6
PTA	Cops6	9.2
PTA	Cops7a	3.5
PTA	Copz1	2.5
PTA	Copz2	0.1
PTA	Coq10b	2.0
PTA	Coq2	3.7
PTA	Coq5	9.4
PTA	Coq7	0.9
PTA	Coq9	1.7
PTA	Coro1b	0.1
PTA	Coro2b	6.1
PTA	Cox10	0.8
PTA	Cox17	18.3
PTA	Cox4i1	68.3
PTA	Cox4nb	0.5
PTA	Cox5a	17.5
PTA	Cox5b	59.0
PTA	Cox6a1	76.4
PTA	Cox6b1	66.8
PTA	Cox6c	11.0
PTA	Cox7a2	49.6
PTA	Cox7a2l	0.1
PTA	Cox7b	11.8
PTA	Cox8a	50.1
PTA	Cpe	144.7
PTA	Cpeb1	0.1
PTA	Cpeb4	9.8
PTA	Cpne2	0.9
PTA	Cpne3	5.6
PTA	Cpped1	0.4
PTA	Cpsf3	8.7
PTA	Cpsf7	11.0
PTA	Cpt1a	6.3
PTA	Cr1l	0.1
PTA	Crat	4.9
PTA	Crebbp	2.4
PTA	Creg1	12.2
PTA	Crip2	1.3
PTA	Cript	2.6
PTA	Crk	1.7
PTA	Crkl	3.5
PTA	Crlf3	0.4
PTA	Crot	3.4
PTA	Cry2	0.6
PTA	Cryab	139.7
PTA	Cryzl1	1.2
PTA	Cs	27.1
PTA	Csda	0.2
PTA	Csdc2	0.1
PTA	Csde1	7.3
PTA	Cse1l	11.5
PTA	Csf1	7.0
PTA	Csgalnact1	3.0
PTA	Csnk1a1	6.8
PTA	Csnk1d	0.9
PTA	Csnk2b	9.4
PTA	Cspg5	15.5
PTA	Csrp1	56.8
PTA	Cst3	362.9
PTA	Cstb	44.4
PTA	Cstf2t	1.1
PTA	Ctage5	0.2
PTA	Ctbs	1.2
PTA	Ctcf	2.6
PTA	Ctdsp1	1.0
PTA	Ctdsp2	7.6
PTA	Cth	0.4
PTA	Ctif	0.1
PTA	Ctnna1	8.5
PTA	Ctnnb1	7.8
PTA	Ctnnd1	9.1
PTA	Ctnnd2	17.4
PTA	Ctsa	10.5
PTA	Ctsb	7.1
PTA	Ctsd	1.3
PTA	Ctsf	5.4
PTA	Ctso	7.1
PTA	Ctsz	0.1
PTA	Cuedc2	3.1
PTA	Cul1	2.5
PTA	Cul3	2.0
PTA	Cul4a	1.0
PTA	Cuta	4.5
PTA	Cux1	1.2
PTA	Cwc15	0.4
PTA	Cxcl14	340.9
PTA	Cyb5b	7.4
PTA	Cyc1	2.4
PTA	Cycs	2.2
PTA	Cyfip1	1.1
PTA	Cyhr1	0.3
PTA	Cyp7b1	7.0
PTA	Cyr61	11.8
PTA	Daam1	2.7
PTA	Daam2	8.4
PTA	Dab1	0.2
PTA	Dad1	96.1
PTA	Dag1	16.6
PTA	Dapp1	0.1
PTA	Dars	8.5
PTA	Dazap2	17.1
PTA	Dbi	91.2
PTA	Dbndd2	22.1
PTA	Dbp	0.1
PTA	Dbt	1.1
PTA	Dbx2	0.4
PTA	Dcaf11	0.7
PTA	Dcaf13	2.0
PTA	Dcaf8	2.7
PTA	Dclk1	0.1
PTA	Dctd	1.6
PTA	Dctn2	2.3
PTA	Dctn3	7.7
PTA	Dctn4	10.2
PTA	Dctn5	1.3
PTA	Dctn6	10.2
PTA	Dcun1d5	1.0
PTA	Ddah1	99.4
PTA	Ddb1	6.4
PTA	Ddhd1	1.1
PTA	Ddit3	4.6
PTA	Ddit4l	0.6
PTA	Ddost	2.0
PTA	Ddrgk1	1.4
PTA	Ddt	12.5
PTA	Ddx1	10.6
PTA	Ddx17	29.6
PTA	Ddx39b	0.2
PTA	Ddx3x	5.4
PTA	Ddx42	9.1
PTA	Ddx47	12.7
PTA	Ddx5	19.7
PTA	Ddx50	0.1
PTA	Ddx6	7.3
PTA	Decr1	15.3
PTA	Degs1	8.5
PTA	Dek	4.8
PTA	Dennd1a	2.2
PTA	Dennd4c	4.1
PTA	Dennd5a	3.0
PTA	Derl1	3.3
PTA	Dgkb	0.1
PTA	Dhcr24	1.8
PTA	Dhcr7	8.6
PTA	Dhrs1	4.2
PTA	Dhrs3	4.4
PTA	Dhrs7	13.4
PTA	Dhx15	3.1
PTA	Dhx36	0.2
PTA	Dhx40	2.2
PTA	Dhx9	7.0
PTA	Diablo	1.5
PTA	Dio2	15.8
PTA	Dip2b	3.5
PTA	Dirc2	1.6
PTA	Dkk3	133.8
PTA	Dlat	0.5
PTA	Dlc1	15.2
PTA	Dld	2.9
PTA	Dlg1	2.2
PTA	Dlg4	0.1
PTA	Dlg5	1.3
PTA	Dlgap1	0.1
PTA	Dlst	0.9
PTA	Dmd	9.0
PTA	Dmp1	0.1
PTA	Dnaja1	23.6
PTA	Dnaja2	1.6
PTA	Dnaja3	2.0
PTA	Dnajb11	2.1
PTA	Dnajb2	2.5
PTA	Dnajb4	0.8
PTA	Dnajb6	3.7
PTA	Dnajb9	1.9
PTA	Dnajc15	4.3
PTA	Dnajc18	6.1
PTA	Dnajc24	0.6
PTA	Dnajc3	9.3
PTA	Dnajc5	0.5
PTA	Dnajc7	0.1
PTA	Dnajc8	4.2
PTA	Dnajc9	8.0
PTA	Dner	7.0
PTA	Dnm1l	3.1
PTA	Dnm2	0.1
PTA	Dnttip2	1.1
PTA	Dock1	4.1
PTA	Dock7	7.8
PTA	Dpf2	1.8
PTA	Dpm2	0.7
PTA	Dpp8	2.8
PTA	Dpy19l3	7.5
PTA	Dpy19l4	1.1
PTA	Dpy30	8.8
PTA	Dpysl2	84.4
PTA	Drap1	0.1
PTA	Drg1	2.2
PTA	Drp2	0.1
PTA	Dscr3	0.3
PTA	Dst	30.1
PTA	Dstn	20.7
PTA	Dtna	140.2
PTA	Dtymk	0.5
PTA	Dusp1	2.9
PTA	Dusp11	4.5
PTA	Dusp22	0.2
PTA	Dusp6	1.0
PTA	Dync1h1	2.8
PTA	Dync1i2	2.5
PTA	Dync1li2	7.1
PTA	Dynll1	61.1
PTA	Dynlrb1	38.5
PTA	Dynlt3	3.4
PTA	Dyrk1a	1.8
PTA	Dzip1	5.8
PTA	E2f5	0.1
PTA	E2f6	0.7
PTA	Eapp	23.6
PTA	Ebag9	0.8
PTA	Ece1	3.3
PTA	Ech1	3.4
PTA	Echdc2	4.4
PTA	Echs1	1.1
PTA	Eci1	0.6
PTA	Eci2	7.4
PTA	Edem3	4.4
PTA	Edf1	15.6
PTA	Ednrb	31.9
PTA	Eea1	1.3
PTA	Eef1a1	32.3
PTA	Eef1b2	6.9
PTA	Eef1d	0.9
PTA	Eef1g	2.9
PTA	Eef2	9.7
PTA	Efemp1	12.3
PTA	Efhd1	43.6
PTA	Efhd2	1.1
PTA	Efr3b	2.2
PTA	Egfr	16.1
PTA	Egln1	4.6
PTA	Egr1	4.9
PTA	Ei24	3.2
PTA	Eif1	112.6
PTA	Eif1ax	0.7
PTA	Eif1b	3.8
PTA	Eif2a	3.3
PTA	Eif2ak1	7.0
PTA	Eif3a	3.9
PTA	Eif3c	1.3
PTA	Eif3d	2.8
PTA	Eif3e	3.0
PTA	Eif3f	8.0
PTA	Eif3g	0.1
PTA	Eif3h	4.6
PTA	Eif3i	7.6
PTA	Eif3j	13.5
PTA	Eif3k	41.9
PTA	Eif3l	7.8
PTA	Eif4a1	8.2
PTA	Eif4a2	31.3
